Company,Ticker,Year,ESG_Score_Letter,ESG_Score_Numeric,Env_Pillar_Letter,Env_Pillar_Numeric,Social_Pillar_Letter,Social_Pillar_Numeric,Gov_Pillar_Letter,Gov_Pillar_Numeric,ROE_PBT,ROCE_PBT,ROA_PBT,ROE_NI,ROCE_NI,ROA_NI,Profit_Margin,Gross_Margin,EBITDA_Margin,EBIT_Margin,CF_Revenue,EV_EBITDA,MCap_CFO,Net_Assets_Turnover,ESG_Group
Next plc,NXT,2022,B+,9,A-,10,B+,9,A-,10,81.5,32.79,20.67,67.08,27.54,17.02,17.78,43.28,24.95,20.25,19.34,10.04,10.25,1.67,High
Next plc,NXT,2023,B+,9,A-,10,B+,9,A-,10,74.61,32.77,21.82,61.09,27.32,17.87,17.27,43.83,23.29,19.65,17.77,8.84,10.71,1.74,High
Next plc,NXT,2024,B+,9,A-,10,B,8,B+,9,61.98,31.72,21.5,48.96,25.58,16.98,18.1,45.93,24.59,20.19,18.69,9.07,9.63,1.61,High
Ocado Group plc,OCDO,2021,B-,7,C-,4,B-,7,B,8,-10.35,-2.69,-4.04,-13.06,-3.87,-5.09,-6.59,50.57,3.96,-4.92,0.57,,,0.69,Low
Ocado Group plc,OCDO,2022,B+,9,B,8,B+,9,B+,9,-25.89,-9.77,-10.41,-23.55,-8.69,-9.46,-18.63,55.33,-3.82,-16.78,-3.98,,,0.64,High
Ocado Group plc,OCDO,2023,B-,7,B-,7,B-,7,B-,7,-26.68,-7.97,-9.1,-20.78,-5.65,-7.09,-13.42,,0.47,-11.26,1.28,,59.88,0.78,Low
Ocado Group plc,OCDO,2024,B-,7,B,8,C+,6,B,8,-31.98,-6.83,-9.01,-28.71,-5.83,-8.09,-11.87,,1.48,-11.68,2.51,75.72,9.78,0.82,Low
Pets at Home Group plc,PETS,2021,B+,9,B-,7,A-,10,B+,9,10.89,8.87,6.23,9.26,7.74,5.3,9.3,58.24,17.56,8.34,17.13,12.4,11.38,0.81,High
Pets at Home Group plc,PETS,2022,B+,9,B-,7,A-,10,B+,9,14.17,11.25,8.41,11.86,9.59,7.04,11.19,57.38,18.64,10.82,17.18,8.58,7.28,0.91,High
Pets at Home Group plc,PETS,2023,B,8,C+,6,B+,9,B-,7,11.95,9.33,6.62,9.82,7.87,5.45,8.65,55.71,16.88,9.66,14.33,8.99,7.1,0.95,Low
Pets at Home Group plc,PETS,2024,A-,10,B,8,A-,10,A,11,10.69,9.18,6.28,8.01,7.21,4.7,7.08,47.16,15.34,8.0,12.65,7.1,5.98,1.11,High
Tesco plc,TSCO,2021,A-,10,B+,9,A,11,A-,10,8.56,6.87,2.27,49.37,23.55,13.08,1.64,16.99,6.86,3.73,12.62,6.81,28.87,2.13,High
Tesco plc,TSCO,2022,A-,10,A-,10,A,11,B,8,12.98,7.77,4.12,9.47,6.12,3.0,3.31,10.44,6.89,3.9,5.4,7.76,5.89,1.85,High
Tesco plc,TSCO,2023,A-,10,B+,9,A-,10,B+,9,8.12,5.73,2.17,6.03,4.82,1.61,1.51,10.81,6.37,2.3,5.19,6.98,5.01,2.33,High
Tesco plc,TSCO,2024,B+,9,B,8,A-,10,A-,10,20.29,11.94,5.03,10.18,7.51,2.53,3.44,11.35,6.68,4.22,4.18,6.49,5.13,2.59,High
WH Smith plc,SMWH,2021,A-,10,B,8,A,11,A,11,-63.39,-9.45,-8.59,-43.72,-5.75,-5.93,-13.09,74.72,9.37,-10.84,11.17,34.84,21.36,0.91,High
WH Smith plc,SMWH,2022,A-,10,B+,9,A+,12,B+,9,20.26,8.26,3.72,17.04,7.4,3.13,4.49,72.15,17.38,6.91,14.25,11.23,10.01,1.2,High
WH Smith plc,SMWH,2023,A-,10,B+,9,A+,12,B,8,32.35,14.09,6.67,23.24,11.29,4.79,6.09,72.16,18.54,8.63,14.28,8.4,7.65,1.63,High
WH Smith plc,SMWH,2024,A-,10,B+,9,A+,12,B+,9,20.38,11.08,4.64,12.8,8.51,2.91,4.46,75.45,15.57,7.89,10.48,8.92,6.31,1.55,High
Watches of Switzerland Group plc,WOSG,2021,C+,6,B-,7,D+,3,B-,7,25.44,12.8,7.7,20.23,10.75,6.12,7.04,20.49,16.84,9.14,13.3,13.77,10.21,1.42,Low
Watches of Switzerland Group plc,WOSG,2022,C+,6,B+,9,C-,4,B,8,34.93,18.23,12.25,27.96,15.0,9.81,10.19,20.32,17.17,11.49,13.84,13.17,14.36,1.59,Low
Watches of Switzerland Group plc,WOSG,2023,B-,7,B+,9,C+,6,B-,7,32.99,18.66,12.53,25.95,15.23,9.86,10.03,19.72,17.07,11.53,13.44,9.06,9.4,1.6,Low
Watches of Switzerland Group plc,WOSG,2024,B,8,B+,9,C+,6,B+,9,17.61,11.64,6.94,11.3,8.51,4.45,5.99,20.51,17.67,9.51,12.0,4.67,4.24,1.46,Low
